GroupCode,StartStage,MigID,StartTofY,EndTofY,Leave_Period,Return_Period,IsAnnualMigration,MinTimeAway,MaxTimeAway,MigrateStockReturn,MigPropSizeInc,MigPropSurvive,PartialExit,MinAgeLeave,MaxAgeLeave,ReprodAllowed
HEP,0,0,182,258,15,15,1,0,0,1,2.7,0.72,0,0,0,1
HEP,1,0,182,258,15,15,1,0,0,1,0,0.72,0,0,0,1
HEC,0,0,182,258,15,15,1,0,0,1,2.7,0.67,0,0,0,1
HEC,1,0,182,258,15,15,1,0,0,1,0,0.67,0,0,0,1
CHY,0,0,213,168,45,1,0,3,5,1,0,1,1,0,0,0
CHY,1,0,258,259,7,1,1,0,0,1,0,1,1,0,0,1
CHS,0,0,227,168,45,1,0,4,6,1,0,1,1,0,0,0
CHS,1,0,258,259,7,1,1,0,0,1,0,1,1,0,0,1
CSY,0,0,213,121,45,1,0,3,5,1,0,1,1,0,0,0
CSY,1,0,232,246,7,1,1,0,0,1,0,1,1,0,0,1
CSS,0,0,227,165,45,1,0,4,6,1,0,1,1,0,0,0
CSS,1,0,232,277,7,1,1,0,0,1,0,1,1,0,0,1
CSN,0,0,227,90,45,1,0,4,6,1,0,1,1,0,0,0
CSN,1,0,239,277,7,1,1,0,0,1,0,1,1,0,0,1
CDS,0,0,227,168,45,1,0,4,6,1,0,1,1,0,0,0
CDS,1,0,272,317,7,1,1,0,0,1,0,1,1,0,0,1
CNY,0,0,213,178,45,1,0,3,5,1,0,1,1,0,0,0
CNY,1,0,232,277,7,1,1,0,0,1,0,1,1,0,0,1
CNS,0,0,227,178,7,1,0,4,6,1,0,1,1,0,0,0
CNS,1,0,232,277,7,1,1,0,0,1,0,1,1,0,0,1
CHC,0,0,227,151,45,1,0,4,6,1,0,1,1,0,0,0
CHC,1,0,236,281,7,1,1,0,0,1,0,1,1,0,0,1
CYE,0,0,213,151,45,1,0,4,6,1,0,1,1,0,0,0
CYE,1,0,265,310,7,1,1,0,0,1,0,1,1,0,0,1
CKS,0,0,227,151,45,1,0,4,6,1,0,1,1,0,0,0
CKS,1,0,265,310,7,1,1,0,0,1,0,1,1,0,0,1
COH,0,0,213,218,45,1,0,2,4,1,0,1,1,0,0,0
COH,1,0,305,306,7,1,1,0,0,1,0,1,1,0,0,1
COS,0,0,213,126,45,1,0,2,4,1,0,1,1,0,0,0
COS,1,0,274,319,7,1,1,0,0,1,0,1,1,0,0,1
COD,0,0,213,208,45,1,0,2,4,1,0,1,1,0,0,0
COD,1,0,305,350,7,1,1,0,0,1,0,1,1,0,0,1
COY,0,0,213,151,45,1,0,2,4,1,0,1,1,0,0,0
COY,1,0,298,343,7,1,1,0,0,1,0,1,1,0,0,1
CMS,0,0,196,274,45,1,0,4,6,1,0,1,0,0,0,0
CMS,1,0,344,345,7,1,1,0,0,1,0,1,0,0,0,1
CMF,0,0,196,274,45,1,0,4,6,1,0,1,0,0,0,0
CMF,1,0,344,24,7,1,1,0,0,1,0,1,0,0,0,1
CMH,0,0,110,195,45,1,0,4,6,1,0,1,0,0,0,0
CMH,1,0,258,303,7,1,1,0,0,1,0,1,0,0,0,1
PIS,0,0,213,215,20,1,0,2,4,1,0,1,0,0,0,0
PIS,1,0,260,305,7,1,1,0,0,1,0,1,0,0,0,1
SAL,0,0,213,127,45,1,0,3,5,1,0,1,0,0,0,0
SAL,1,0,263,308,7,1,1,0,0,1,0,1,0,0,0,1
SAF,0,0,227,199,45,1,0,4,6,1,0,1,1,0,0,0
SAF,1,0,244,289,7,1,1,0,0,1,0,1,1,0,0,1
DOG,0,0,1,121,15,15,1,0,0,1,0.2,0.97,0,0,0,1
DOG,1,0,1,121,15,15,1,0,0,1,0,0.97,0,0,0,1
SBL,0,0,91,305,1,1,1,0,0,1,0,0.95,0,0,0,1
SBL,1,0,91,305,30,30,1,0,0,1,0,0.95,0,0,0,1
SP,0,0,152,273,30,30,1,0,0,1,0,0.805,0,0,0,1
SP,1,0,152,273,30,30,1,0,0,1,0,0.805,0,0,0,1
BE,0,0,30,305,60,60,1,0,0,1,0,0.959,0,0,0,1
BE,1,0,30,251,60,60,1,0,0,1,0,0.755,0,0,0,1
BE,0,1,206,305,7,7,1,0,0,1,0,0.959,0,0,0,1
BE,1,1,206,251,7,7,1,0,0,1,0,0.755,0,0,0,1
CSL,0,0,69,244,30,30,1,0,0,1,0.31,0.735,0,0,0,1
CSL,1,0,69,244,30,30,1,0,0,1,0,0.735,0,0,0,1
PIN,0,0,32,244,30,30,1,0,0,1,0.19,0.875,0,0,0,1
PIN,1,0,32,244,30,30,1,0,0,1,0,0.875,0,0,0,1
ROR,0,0,274,121,45,45,1,0,0,1,0.02,0.997,0,0,0,1
ROR,1,0,274,121,45,45,1,0,0,1,0,0.997,0,0,0,1
TOR,0,0,244,60,60,60,1,0,0,1,0.01,0.998,0,0,0,1
TOR,0,1,152,182,60,60,1,0,0,1,0.01,0.999,0,0,0,1
TOR,1,0,244,60,15,15,1,0,0,1,0,0.998,0,0,0,1
TOR,1,1,152,182,15,15,1,0,0,1,0,0.999,0,0,0,1
HUW,0,0,335,121,30,30,1,0,0,1,0.02,0.86,0,0,0,1
HUW,1,0,335,121,30,30,1,0,0,1,0,0.86,0,0,0,1